Nome: FORMOSO DO ARAGUAIA
Codigo Estacao: A039
Latitude: -11.88749999
Longitude: -49.60833333
Altitude: 215.2
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;34;27,2;22,5;72,3;46;
2015-01-02;34;27,5;23;73,4;41;
2015-01-03;35,4;28,8;23,4;72,5;41;
2015-01-04;29,5;25,6;24,3;79,5;64;
2015-01-05;33,5;26,4;21,1;74,5;44;
2015-01-06;32,1;26,6;22,9;74,1;50;
2015-01-07;33,4;26,7;22,3;75,5;46;
2015-01-08;33,2;26,3;22,8;82,1;52;
2015-01-09;27,9;25,4;24;86,1;72;
2015-01-10;35,1;27,5;21,8;76,7;40;
2015-01-11;28,6;24,6;23,4;87;73;
2015-01-12;30,8;25,2;22,1;81,8;56;
2015-01-13;32,5;25,5;20,8;79,5;53;
2015-01-14;31,8;25,2;21,3;79,1;54;
2015-01-15;33,2;26,1;21,1;74;43;
2015-01-16;29,8;25,2;22,2;80;59;
2015-01-17;32,4;26;22,6;79,2;51;
2015-01-18;33,3;26,8;22,5;78,1;50;
2015-01-19;27,5;23,7;21,6;86,9;66;
2015-01-20;32,8;26,1;21,7;78,5;49;
2015-01-21;29;23,9;21,6;84,9;63;
2015-01-22;33;25,4;20;77;40;
2015-01-23;33,3;26,6;22,7;72,2;42;
2015-01-24;29,1;24,9;22,4;83,7;65;
2015-01-25;27,7;23,4;21,1;85,3;64;
2015-01-26;31,6;24,7;21;80,8;51;
2015-01-27;33,6;26,7;22;73,7;44;
2015-01-28;35,6;27,5;22,3;74,3;39;
2015-01-29;35,6;28,7;22,7;72,1;37;
2015-01-30;34,8;28,2;23,2;75,3;45;
2015-01-31;35,3;26,9;22,6;77,5;44;
2015-02-01;31;24,8;20,2;75,3;52;
2015-02-02;34,7;26,2;20,6;76,2;47;
2015-02-03;34,1;26,7;21,8;76,2;47;
2015-02-04;31,8;25,5;22,1;78,3;53;
2015-02-05;31,7;25,8;22,6;81,3;55;
2015-02-06;27,9;25;22,3;82,8;66;
2015-02-07;26,1;23,4;22,2;89,5;77;
2015-02-08;30;24,6;21,5;83,6;60;
2015-02-09;29;24,6;20,9;84,5;61;
2015-02-10;34;26,6;22,3;76,6;48;
2015-02-11;33,6;26,8;22,5;77,9;47;
2015-02-12;34,8;27,6;23,2;75,7;41;
2015-02-13;35,3;28,1;22,8;74,4;44;
2015-02-14;34,2;27,8;22,4;71,1;43;
2015-02-15;34,1;27,2;22,2;73;44;
2015-02-16;33,9;26,5;23;77,7;44;
2015-02-17;30,2;24,5;23,4;84,4;61;
2015-02-18;31,4;25,2;21,6;81,7;49;
2015-02-19;28,8;24,5;22,1;85,3;65;
2015-02-20;27,8;24,3;22,8;85,2;63;
2015-02-21;30,5;25,4;22,2;81,4;55;
2015-02-22;33,5;25,7;21,5;76,3;48;
2015-02-23;32,1;24,8;20,6;77,2;48;
2015-02-24;32,2;25,5;21,5;76,8;46;
2015-02-25;32,8;26,6;22,3;77,3;49;
2015-02-26;32,9;27,1;24,2;82;56;
2015-02-27;31,3;26,5;24,3;80;55;
2015-02-28;32,7;27;22,7;78,3;50;
2015-03-01;32,6;25,6;22,9;81,7;53;
2015-03-02;33,5;26,3;21,7;74,4;44;
2015-03-03;29,9;26,1;24,1;79,6;65;
2015-03-04;34,5;25,8;22,6;78,4;41;
2015-03-05;29,8;24,8;22,5;82,7;58;
2015-03-06;30,8;24,6;21,6;84,1;58;
2015-03-07;32,3;24;20,7;83,6;55;
2015-03-08;33,2;25,5;20,9;79,2;47;
2015-03-09;34,4;27,1;23,3;78;43;
2015-03-10;34,1;27,4;23;76,5;48;
2015-03-11;33;26,6;22,5;79,2;54;
2015-03-12;29,6;25;22;83,9;62;
2015-03-13;32,3;26,2;22,1;76,2;51;
2015-03-14;33,2;26;22,9;80,1;52;
2015-03-15;30,2;25,3;20,9;82,9;56;
2015-03-16;32,3;25,5;22,6;82;56;
2015-03-17;30,6;25,1;21,9;78,5;46;
2015-03-18;28,3;24,5;21,2;82,6;64;
2015-03-19;23,8;null;21,9;90;85;
2015-03-20;30,7;24,8;21,4;80,3;44;
2015-03-21;25,3;22,3;20,9;91,3;83;
2015-03-22;28,9;23,9;20,9;83,3;58;
2015-03-23;31,7;25,8;21,2;78,8;51;
2015-03-24;31,5;25,3;22,7;83,5;59;
2015-03-25;32,1;26,5;22,6;80;53;
2015-03-26;27,9;24,8;23,3;86,5;72;
2015-03-27;32,1;25,3;20,9;80,7;54;
2015-03-28;34,2;27,9;22,6;74,8;48;
2015-03-29;32,2;26,8;23,7;80,7;58;
2015-03-30;33;27,1;22,2;78,3;50;
2015-03-31;29,7;25,5;21,9;83,1;58;
2015-04-01;32,3;26,8;22,1;76,8;50;
2015-04-02;33,2;27,2;23,5;80,5;52;
2015-04-03;31,4;26,3;23,3;79,3;56;
2015-04-04;33,6;26,4;22,2;78,1;45;
2015-04-05;32,5;26,7;21;80;50;
2015-04-06;28,3;24,3;22,8;88,8;73;
2015-04-07;31,6;26;22,5;80,7;55;
2015-04-08;33;26,9;23,6;77,9;44;
2015-04-09;30;25,6;22,1;83,2;64;
2015-04-10;32;27,2;23,5;79,3;54;
2015-04-11;30,8;26,3;24;84;61;
2015-04-12;30,7;25,7;23,2;83,3;63;
2015-04-13;29,8;26,2;23,4;82,4;63;
2015-04-14;31,4;24,6;24,1;87,8;58;
2015-04-15;31,4;25,2;21,1;82,2;55;
2015-04-16;29,2;25;23,1;88,3;69;
2015-04-17;32,7;26,4;22,8;80,3;52;
2015-04-18;33,3;26,9;22,9;78;44;
2015-04-19;34,1;27,2;22,5;77,9;45;
2015-04-20;26,7;24,3;22,1;86,5;73;
2015-04-21;32,1;25,5;20,9;80,5;46;
2015-04-22;31,2;25,1;23,3;86,4;61;
2015-04-23;33,3;26;22,4;82,3;50;
2015-04-24;33,6;27;22,1;76,3;47;
2015-04-25;30,9;25,8;22,7;84,4;59;
2015-04-26;31,5;25,2;23,2;86,9;55;
2015-04-27;31,7;25;21,4;82,8;54;
2015-04-28;32,4;26;22,2;80,3;49;
2015-04-29;31;26,2;23,8;78,8;53;
2015-04-30;30,7;24,7;22,5;84,1;56;
2015-05-01;30,9;25,1;21,6;79,7;47;
2015-05-02;31,1;25,6;22,6;80,8;52;
2015-05-03;31,4;24,8;23,5;83,3;56;
2015-05-04;32,3;25,2;21,7;81,8;52;
2015-05-05;30;24,7;22,3;83,4;57;
2015-05-06;30,6;24,9;21,6;84,3;55;
2015-05-07;32,5;26,7;23,1;78,9;44;
2015-05-08;30,9;26,2;23;83;60;
2015-05-09;29,9;25,3;22,8;86,2;63;
2015-05-10;32,1;26,4;22,2;78,3;48;
2015-05-11;32,5;24,7;21,5;81,2;51;
2015-05-12;29,9;24;20,2;79,5;53;
2015-05-13;32,5;25,6;20,7;79;49;
2015-05-14;32,7;26,5;21,3;76,3;49;
2015-05-15;31,8;26,3;23,3;72,8;49;
2015-05-16;31,3;25,8;22,1;70,5;46;
2015-05-17;31,2;25,7;21,1;68,8;46;
2015-05-18;32,2;25,9;21,8;69,9;41;
2015-05-19;32,1;25,6;19,8;71;45;
2015-05-20;31,7;25,4;20,8;74,9;46;
2015-05-21;32,8;26,5;21,7;69,3;43;
2015-05-22;32,7;26,5;21,8;66,5;43;
2015-05-23;31,4;25,6;21,8;69,7;43;
2015-05-24;32,6;25,8;20,1;69,1;40;
2015-05-25;33,2;25,9;19,9;67,1;34;
2015-05-26;33,6;25,7;19,1;66;33;
2015-05-27;33,9;26,1;20;68,1;37;
2015-05-28;33,7;27,1;21,7;66,6;36;
2015-05-29;33,3;26,9;21,8;71,4;44;
2015-05-30;32,2;26,7;22,1;74,3;52;
2015-05-31;34,5;27,4;21,7;69,1;36;
2015-06-01;34,2;27;21;66,8;34;
2015-06-02;34,3;26,5;20,1;65,3;31;
2015-06-03;33,9;26,5;20,3;61,2;34;
2015-06-04;32,9;26,2;19,8;62;35;
2015-06-05;32,5;25,6;19;64;38;
2015-06-06;33,2;25,8;20,4;64,5;37;
2015-06-07;33,1;26,1;20,6;64,7;38;
2015-06-08;33;26,3;20,7;65,8;41;
2015-06-09;32,8;26,5;21,6;61,6;35;
2015-06-10;33,2;25,8;20,3;65,7;36;
2015-06-11;34;26;19,4;66,2;32;
2015-06-12;34;26;19,9;69,5;36;
2015-06-13;34,5;26,5;19,8;63,6;29;
2015-06-14;34,6;27;20;56,6;30;
2015-06-15;34,9;27,3;20,1;57,9;28;
2015-06-16;35,5;26,8;19,7;60,2;28;
2015-06-17;35,1;26,2;18,8;60,9;25;
2015-06-18;33,2;26;19,6;60,7;29;
2015-06-19;33,7;25,8;20,2;59;25;
2015-06-20;33,1;24,8;17,6;55,8;28;
2015-06-21;31,1;24;17,9;58,4;32;
2015-06-22;32,1;23,9;16,2;59,8;32;
2015-06-23;32,6;25;17,5;58,8;30;
2015-06-24;33,7;24,5;15,3;58,4;21;
2015-06-25;33,4;25,9;18,5;52,4;33;
2015-06-26;32,2;26,2;21,5;56,7;35;
2015-06-27;32;25,4;19,3;51,4;28;
2015-06-28;31,5;24,1;18,5;55,8;36;
2015-06-29;32,4;24,3;17,7;63,3;33;
2015-06-30;31,6;25,2;20,5;58,8;36;
2015-07-01;33,9;24,5;16,6;63,9;27;
2015-07-02;33,5;26,3;19,2;58,8;33;
2015-07-03;35;26,4;18,5;58,7;28;
2015-07-04;34,9;26,4;19,8;57,6;27;
2015-07-05;35,4;26,2;18,8;58,7;24;
2015-07-06;35;26,6;18,3;58,2;27;
2015-07-07;32,2;26,6;22,2;62,3;37;
2015-07-08;29,2;24,8;21,8;68,1;48;
2015-07-09;34;25,5;19,5;67,5;32;
2015-07-10;35,1;27,2;21,6;58,6;30;
2015-07-11;35;26,6;20,2;58,1;30;
2015-07-12;34,3;25,8;18,9;62,1;29;
2015-07-13;35,3;26,6;19,6;57;23;
2015-07-14;34,7;27;19,7;52,4;26;
2015-07-15;33,7;26,7;21,2;47,2;22;
2015-07-16;32,8;25,5;19,9;54,7;31;
2015-07-17;33,2;25,5;19,8;49,8;27;
2015-07-18;33,2;26,7;21,4;42,8;21;
2015-07-19;33,1;26,2;21,3;43,5;24;
2015-07-20;33,5;25,7;20,1;47,7;23;
2015-07-21;34,4;25,2;16,5;53,6;23;
2015-07-22;35,3;25,9;17,2;50;21;
2015-07-23;34,2;26;18,3;41,9;19;
2015-07-24;34,4;25,5;17,9;45,9;20;
2015-07-25;35,3;25,5;17,3;49,4;20;
2015-07-26;35,5;26,5;18,8;49,3;19;
2015-07-27;36,3;27;19,6;48,5;23;
2015-07-28;36,7;28,3;20,4;42,3;20;
2015-07-29;36,3;27,7;20,2;41,3;17;
2015-07-30;34,2;27,1;21,1;38,7;21;
2015-07-31;35,4;25,8;17,3;47;19;
2015-08-01;34,5;26;17,7;40,7;18;
2015-08-02;34,7;25,5;17,7;43;20;
2015-08-03;34,7;26,7;18,9;42,6;20;
2015-08-04;35,2;26,4;18,2;42,7;18;
2015-08-05;35,3;25,5;15,5;45,2;15;
2015-08-06;36,3;26,4;15,8;41;15;
2015-08-07;36,9;27,5;16,7;36,9;14;
2015-08-08;35,9;28;19,5;32,3;15;
2015-08-09;35,2;28,2;22;32;18;
2015-08-10;34,8;27,4;21,1;34,7;19;
2015-08-11;33,7;26,8;21,6;41,1;25;
2015-08-12;33,4;26;20,8;37,8;17;
2015-08-13;31,6;24,5;17,8;40,3;23;
2015-08-14;32,3;23,9;16,7;46,7;21;
2015-08-15;35,2;25,6;17,4;45;21;
2015-08-16;35,8;27,4;18,6;43,7;21;
2015-08-17;35,3;28,3;22;38,5;21;
2015-08-18;34,8;27,6;21,3;34,1;18;
2015-08-19;35,9;27,6;18,3;39,8;19;
2015-08-20;37,2;29;20,1;36,8;16;
2015-08-21;37,5;28,1;18,5;43,9;18;
2015-08-22;38,1;28,6;20,1;45,3;17;
2015-08-23;37,6;28,8;21,1;47,8;19;
2015-08-24;38,8;28,6;20,3;51;19;
2015-08-25;37,5;30,2;21,9;43,7;24;
2015-08-26;37,7;30;22,5;49,9;20;
2015-08-27;37,6;28,1;20,7;55,9;23;
2015-08-28;38,8;29,1;21,7;44,4;13;
2015-08-29;37,8;28,8;19;41,4;19;
2015-08-30;37,6;30,2;23,9;33,8;16;
2015-08-31;37,5;30,4;25;33,3;19;
2015-09-01;37,9;30,1;22,7;31,9;14;
2015-09-02;38,1;28,5;17,7;37,1;12;
2015-09-03;39;28,2;17,7;35,3;11;
2015-09-04;38,7;29,1;20,6;34,1;13;
2015-09-05;38,7;29,3;22,7;40;13;
2015-09-06;38,1;29,6;21,8;47,3;26;
2015-09-07;35,9;28;24,7;62,1;36;
2015-09-08;36,2;28,5;22,2;66,6;31;
2015-09-09;36,6;29,1;22,1;60,8;26;
2015-09-10;37,8;29,5;22,6;54,5;23;
2015-09-11;37,8;29,3;21,8;57,2;19;
2015-09-12;38,4;29,9;23,4;53,3;22;
2015-09-13;39,1;29,7;23,6;56,5;21;
2015-09-14;36,2;28,3;24;61,2;33;
2015-09-15;37,2;28,9;22,3;60,8;27;
2015-09-16;38,8;30,6;23,8;42,2;12;
2015-09-17;38,5;30,8;23,4;26,7;13;
2015-09-18;38,9;30,3;20,9;33,4;13;
2015-09-19;39;31,1;25;26,9;12;
2015-09-20;39,7;30,2;20,4;34;12;
2015-09-21;37,8;29,2;21,2;48,2;24;
2015-09-22;35,3;29,6;24,4;50,7;33;
2015-09-23;37,8;30,3;23,9;54,7;28;
2015-09-24;37,7;30,2;23,8;55,8;29;
2015-09-25;36,9;29,8;24,2;55,3;30;
2015-09-26;37,8;29,2;21,2;58;27;
2015-09-27;38,7;30,2;22,2;52,5;23;
2015-09-28;37,5;30,5;25;52,8;31;
2015-09-29;29,6;25,6;23,2;74,3;54;
2015-09-30;38,2;28,4;20,9;60,7;24;
2015-10-01;39,6;30,4;24;47,7;12;
2015-10-02;37,9;29,6;21,7;45,5;25;
2015-10-03;38,4;30,1;22,6;52,5;24;
2015-10-04;40,3;30,9;22,8;51;18;
2015-10-05;40,7;31,6;23,9;47,4;20;
2015-10-06;33;25,7;24,6;72,5;37;
2015-10-07;35,7;27,3;20,1;63,3;30;
2015-10-08;38,7;29,8;24,3;56,5;26;
2015-10-09;38,4;30,6;23,2;51,3;24;
2015-10-10;37,6;29,8;23,4;53,8;24;
2015-10-11;38,4;30,2;23,5;52,6;22;
2015-10-12;38,4;30,2;22,4;47,3;19;
2015-10-13;39,4;30,3;22,7;40,7;14;
2015-10-14;39,4;30,3;23,1;44,8;15;
2015-10-15;40,2;30,5;21,2;36,6;13;
2015-10-16;40,3;32,4;24,8;36,5;14;
2015-10-17;38,9;30,2;22,4;42,8;18;
2015-10-18;39,3;31;22,9;43,6;19;
2015-10-19;38,9;31;23,3;46;26;
2015-10-20;38,6;31,1;25,6;49;25;
2015-10-21;38,9;31,3;24;49,9;24;
2015-10-22;40,8;32,5;25,7;44,6;20;
2015-10-23;33,9;28,4;26,4;59,1;37;
2015-10-24;36,5;27,1;22,9;71,3;34;
2015-10-25;34,2;28,2;24;67,8;40;
2015-10-26;36;29,2;24,1;61,8;32;
2015-10-27;36,8;29,2;23,9;63,6;33;
2015-10-28;36,2;27,7;24,8;70,5;37;
2015-10-29;35;27,8;22,8;68,8;36;
2015-10-30;36,3;27,9;23,9;72;32;
2015-10-31;34,6;27,9;21,9;69,8;35;
2015-11-01;27,5;24,3;21,6;84,6;68;
2015-11-02;33,7;26,8;22,5;75,7;44;
2015-11-03;33,4;28,1;23,4;70,9;46;
2015-11-04;36,6;29,2;23,3;64,8;34;
2015-11-05;32,1;25,9;21,4;68,9;40;
2015-11-06;34,6;27,4;22,2;69,8;34;
2015-11-07;37,3;29,8;23,7;62,8;31;
2015-11-08;36,1;27,9;25,3;73,6;38;
2015-11-09;33,5;25,8;23,1;80,8;51;
2015-11-10;36,5;27,5;20,9;73,5;30;
2015-11-11;37,1;29,6;23,2;65,3;30;
2015-11-12;38;29,5;23,8;61,4;24;
2015-11-13;37,1;29,8;23,6;62,1;29;
2015-11-14;34,3;null;26,1;70,6;44;
2015-11-15;null;null;null;58,5;42;
2015-11-16;29,4;null;23,5;76,2;61;
2015-11-17;33;null;23,9;70;51;
2015-11-18;34,1;27,7;23,1;70,7;46;
2015-11-19;33;27,2;23,3;74,7;51;
2015-11-20;32,6;26,9;22,1;71,6;48;
2015-11-21;34,7;29;24,1;66,7;42;
2015-11-22;34,1;28;24,6;67,8;45;
2015-11-23;33,8;27,8;24;70,4;45;
2015-11-24;32,3;27,5;24,6;75,2;55;
2015-11-25;31,4;26,2;21,7;76,6;54;
2015-11-26;34,8;29;23,5;69,8;39;
2015-11-27;33,9;28,1;25,6;73,4;48;
2015-11-28;32,2;26,3;20,8;77;53;
2015-11-29;34,6;27,4;22,6;71,9;45;
2015-11-30;35,2;28,2;23,7;72,8;44;
2015-12-01;37,5;29,7;23,2;63,9;27;
2015-12-02;38,4;30,7;24,6;61,8;25;
2015-12-03;38,8;30,8;23,6;60,2;26;
2015-12-04;35,6;29,1;23,9;63,7;41;
2015-12-05;33,4;27,4;23;70,4;44;
2015-12-06;33,5;27,8;23,4;67,3;41;
2015-12-07;35,1;29;23,9;67,1;32;
2015-12-08;29,8;null;23,6;79,2;60;
2015-12-09;null;null;null;null;38;
2015-12-10;null;null;null;null;37;
2015-12-11;null;null;null;null;40;
2015-12-12;null;null;null;null;40;
2015-12-13;null;null;null;null;null;
2015-12-14;null;null;null;null;null;
2015-12-15;null;null;null;null;null;
2015-12-16;null;null;null;null;null;
2015-12-17;null;null;null;null;null;
2015-12-18;null;null;null;null;null;
2015-12-19;null;null;null;null;null;
2015-12-20;null;null;null;null;null;
2015-12-21;null;null;null;null;null;
2015-12-22;null;null;null;null;null;
2015-12-23;null;null;null;null;null;
2015-12-24;null;null;null;null;null;
2015-12-25;null;null;null;null;null;
2015-12-26;null;null;null;null;null;
2015-12-27;null;null;null;null;null;
2015-12-28;null;null;null;null;null;
2015-12-29;null;null;null;null;null;
2015-12-30;null;null;null;null;null;
2015-12-31;null;null;null;null;null;
2016-01-01;null;null;null;null;null;
2016-01-02;null;null;null;null;null;
2016-01-03;null;null;null;null;null;
2016-01-04;null;null;null;null;null;
2016-01-05;null;null;null;null;null;
2016-01-06;null;null;null;null;null;
2016-01-07;null;null;null;null;null;
2016-01-08;null;null;null;null;null;
2016-01-09;null;null;null;null;null;
2016-01-10;null;null;null;null;null;
2016-01-11;null;null;null;null;null;
2016-01-12;null;null;null;null;null;
2016-01-13;null;null;null;null;null;
2016-01-14;null;null;null;null;null;
2016-01-15;null;null;null;null;null;
2016-01-16;null;null;null;null;null;
2016-01-17;null;null;null;null;null;
2016-01-18;null;null;null;null;null;
2016-01-19;null;null;null;null;null;
2016-01-20;null;null;null;null;null;
2016-01-21;null;null;null;null;null;
2016-01-22;null;null;null;null;null;
2016-01-23;null;null;null;null;null;
2016-01-24;null;null;null;null;null;
2016-01-25;null;null;null;null;null;
2016-01-26;null;null;null;null;72;
2016-01-27;25,8;24;22,5;89,3;80;
2016-01-28;29,4;24,9;22,6;84,2;65;
2016-01-29;29;24,1;22,6;88,3;68;
2016-01-30;33;26,4;22,4;76,8;43;
2016-01-31;33,3;27,3;22,5;69;37;
2016-02-01;33,6;27,6;21,9;62,4;36;
2016-02-02;34;27,4;22,5;67,6;35;
2016-02-03;32,9;26,8;22;67,4;42;
2016-02-04;32,4;26,2;21,5;74,6;49;
2016-02-05;32,7;25,5;22,5;82,8;53;
2016-02-06;34,8;28,4;21,3;70,7;34;
2016-02-07;34,1;27,7;24;75,9;42;
2016-02-08;35,4;29;23,9;67;36;
2016-02-09;35;28,4;23,5;68,7;34;
2016-02-10;35,6;29,4;23,4;65,2;34;
2016-02-11;35,9;28,4;22,7;70,3;35;
2016-02-12;35,2;28,8;23,8;71,5;41;
2016-02-13;34,6;28,2;24,4;74,1;46;
2016-02-14;31,8;25,9;23,7;84,4;61;
2016-02-15;31,4;25,3;23,2;83;55;
2016-02-16;34,5;27,9;22,3;71,6;39;
2016-02-17;35,3;29,1;23,6;65;31;
2016-02-18;35,5;29;23,5;64,2;31;
2016-02-19;35,9;28,7;22,5;61,3;26;
2016-02-20;35,2;28,7;22,4;62,1;39;
2016-02-21;32,5;26,8;24,3;76,9;56;
2016-02-22;35,6;27,6;21,1;66,7;31;
2016-02-23;36;29,5;23,4;57,5;31;
2016-02-24;35,6;28,8;23,4;65,5;36;
2016-02-25;34,6;27,7;23,4;75,1;43;
2016-02-26;29,8;26,3;23,2;82,2;65;
2016-02-27;33,6;27,7;23,8;76,4;49;
2016-02-28;36,3;29,5;24;67,4;32;
2016-02-29;36,1;29,6;24,6;68;34;
2016-03-01;37;29,8;24,8;63,5;30;
2016-03-02;35,2;28,4;24,3;71,3;40;
2016-03-03;32,5;27;23,7;73,3;45;
2016-03-04;34,7;27,8;24,4;74,2;39;
2016-03-05;33;26,2;25;83,5;50;
2016-03-06;30,3;25,6;23,3;85,4;64;
2016-03-07;31,2;26;23;85,9;57;
2016-03-08;33;26,8;22,8;78,3;51;
2016-03-09;27;25,2;24,9;87,8;78;
2016-03-10;32,5;26,5;22,6;79,8;52;
2016-03-11;29,5;25,9;22,7;84,9;66;
2016-03-12;32,1;26,4;23;79,7;55;
2016-03-13;31,5;25,4;22,7;84,4;60;
2016-03-14;33,1;26,5;23,1;83;52;
2016-03-15;31,4;26,8;23,9;81,2;63;
2016-03-16;34;26,9;23,7;78,5;45;
2016-03-17;35;28;22,7;73,3;39;
2016-03-18;35,1;29,1;24,1;69,5;44;
2016-03-19;34,9;27,7;23,3;77,1;48;
2016-03-20;34,1;26,9;23,7;79,5;52;
2016-03-21;31,9;25,8;24,2;82,5;57;
2016-03-22;33,8;27,2;22,6;76;45;
2016-03-23;35,1;28,3;23,7;74;45;
2016-03-24;34,5;27,8;23,6;77,1;48;
2016-03-25;33,6;27;23,5;80,6;51;
2016-03-26;32,1;25,8;24;85;58;
2016-03-27;33,9;27,1;23,5;79,5;50;
2016-03-28;35,7;28,6;23,6;72,3;37;
2016-03-29;35,3;28,9;24,5;70,2;38;
2016-03-30;35,4;28,5;24,5;74,3;39;
2016-03-31;34,2;28,3;24,3;77,7;47;
2016-04-01;35,3;28,5;23,6;69,4;35;
2016-04-02;34,4;27,1;23,4;75,9;44;
2016-04-03;34,3;27,7;22,9;74,4;42;
2016-04-04;35;27,8;25;77,2;47;
2016-04-05;35,5;28,9;24,2;71,7;41;
2016-04-06;36,2;28,9;23,5;69,3;34;
2016-04-07;36,5;28,8;23,5;73,1;38;
2016-04-08;36;29,2;25,3;72,9;39;
2016-04-09;34,1;28,2;24,6;73,7;52;
2016-04-10;34,9;27,3;23,6;77,4;48;
2016-04-11;32,1;26,8;23,3;80,3;54;
2016-04-12;34,6;28,3;23,9;73,4;40;
2016-04-13;34,1;27,7;23,7;75,2;45;
2016-04-14;34,6;28,4;23,8;71,6;38;
2016-04-15;35,4;27,8;22,1;67,6;33;
2016-04-16;34,8;28,2;22,6;61,6;34;
2016-04-17;34,7;28;22,6;59;31;
2016-04-18;35;28,2;22,3;58,2;32;
2016-04-19;34,9;28,4;22,8;61;37;
2016-04-20;34,7;27,9;21;62,5;32;
2016-04-21;35,1;27,4;20,8;62,2;29;
2016-04-22;35,7;27,4;20;61,1;29;
2016-04-23;36,5;27,3;20;63,1;27;
2016-04-24;36,8;28,3;20,9;63,3;30;
2016-04-25;35,8;28,5;22,7;63,8;32;
2016-04-26;35,1;27,6;22,8;70,8;40;
2016-04-27;30,7;26,2;23,6;78,5;58;
2016-04-28;33,7;26,7;22;75,1;47;
2016-04-29;34,4;26;22,3;76,5;45;
2016-04-30;32,1;26,4;23,1;80,3;52;
2016-05-01;34,4;27,8;22,2;71,3;43;
2016-05-02;34,9;27,9;23,4;73,1;38;
2016-05-03;33,2;27,2;23,3;71,9;45;
2016-05-04;34,6;27,1;21,9;71,4;33;
2016-05-05;34,7;27,4;21,6;65,5;35;
2016-05-06;34,1;27,6;23,2;68,3;38;
2016-05-07;35,2;27,7;22,5;64;28;
2016-05-08;35,3;27,1;20,2;63;29;
2016-05-09;34,8;27,1;21,4;64,1;32;
2016-05-10;35,5;27,3;20,7;62,4;26;
2016-05-11;35,9;27,2;19,6;63;25;
2016-05-12;36,8;27,9;21,7;61,8;26;
2016-05-13;36,6;27,5;20,7;63,2;28;
2016-05-14;35,5;27,7;21,7;66,1;32;
2016-05-15;35,1;27,5;21,6;68,8;33;
2016-05-16;35,7;27,6;21,6;66,5;31;
2016-05-17;36,2;27,7;21,6;66,1;29;
2016-05-18;35,7;27,6;21,2;66,7;32;
2016-05-19;36,6;28,3;21,6;63,3;26;
2016-05-20;35,9;28,1;21,8;58,8;28;
2016-05-21;34,6;28;23;53,3;28;
2016-05-22;35,7;27,2;20,9;58,3;23;
2016-05-23;35,4;26,1;20,4;63,8;25;
2016-05-24;36,1;26,9;19,4;60,3;26;
2016-05-25;35,7;27,1;20,5;59;28;
2016-05-26;34,4;28,2;23,5;53;33;
2016-05-27;34,9;27;20,8;59,4;28;
2016-05-28;34,3;26,4;20,9;56,5;27;
2016-05-29;34,7;27,3;20,6;49,5;26;
2016-05-30;35,5;26,8;19,5;57,1;26;
2016-05-31;36,1;27;19,7;58,6;27;
2016-06-01;36,7;27,3;20,2;58,2;24;
2016-06-02;35,5;27;20;63,1;26;
2016-06-03;34,9;27,3;21,5;66,8;35;
2016-06-04;35,9;27,8;21,6;64,8;31;
2016-06-05;36,4;27,6;20,5;63,6;30;
2016-06-06;36,5;28,2;21,2;60,5;29;
2016-06-07;34,6;27,7;22,6;67,5;37;
2016-06-08;35,2;28,4;23;66;33;
2016-06-09;34,9;27,4;22,7;68,7;37;
2016-06-10;34,1;27,4;22,3;68,3;36;
2016-06-11;32,9;27;24,2;65,2;41;
2016-06-12;32,5;26,9;23,5;64,8;43;
2016-06-13;34,9;27;20,8;58,1;32;
2016-06-14;33,4;27,2;21,7;61,8;37;
2016-06-15;33,4;27;23,4;54,3;30;
2016-06-16;34;26,2;18,9;52,8;25;
2016-06-17;33,9;25,9;18,3;49,8;25;
2016-06-18;34,4;26;18,1;51,1;24;
2016-06-19;34,7;26,3;18,5;51,5;26;
2016-06-20;34,1;26,4;20,2;51,5;29;
2016-06-21;34,7;26,9;21,3;52,7;26;
2016-06-22;34,2;26,2;20,6;48,3;21;
2016-06-23;34;25,9;17,1;47;25;
2016-06-24;34,8;26,3;19,5;49,7;23;
2016-06-25;33,5;26,5;20,3;38,5;16;
2016-06-26;33,1;26;21;44,6;26;
2016-06-27;32,4;25,9;21;46,2;27;
2016-06-28;32,9;25,1;19,7;47,4;27;
2016-06-29;32,8;25,1;18,5;47,8;24;
2016-06-30;33;24,7;18,1;50;24;
2016-07-01;33,4;25;17,4;48,2;22;
2016-07-02;33,7;26,1;19,1;42,6;22;
2016-07-03;33,4;25,4;19,2;46,8;24;
2016-07-04;33,5;25;17,4;48,4;25;
2016-07-05;33,9;25,7;19;48,9;26;
2016-07-06;34,6;26,2;18,2;48,2;22;
2016-07-07;34,9;26,8;19,7;45,6;21;
2016-07-08;36,4;25,7;17,1;51,6;19;
2016-07-09;36,6;26,6;16,7;45,5;15;
2016-07-10;36,1;26,4;16,6;47,2;17;
2016-07-11;35,9;27,1;18,3;42,9;19;
2016-07-12;36,2;28,3;21,8;37;18;
